Product Name,Description,Faceveneer,Thickness (mm),Core Material,Glue,Weight/Board,Chemical Dipping,Film Face Color,Film Face GSM,Wire Mesh,Grade,Rate/SqFt
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Melamine Urea Formaldehyde (MUF),22,,Red,100,,"Film Faced, MUF Grade",37
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Melamine Urea Formaldehyde (MUF),22,,Red,120,,"Film Faced, MUF Grade",37
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Melamine Urea Formaldehyde (MUF),22,,Red,180,,"Film Faced, MUF Grade",37
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Melamine Urea Formaldehyde (MUF),22,,Black,80,,"Film Faced, MUF Grade",38
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Melamine Urea Formaldehyde (MUF),22,,Black,100,,"Film Faced, MUF Grade",38
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Melamine Urea Formaldehyde (MUF),22,,Black,120,,"Film Faced, MUF Grade",38
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Melamine Urea Formaldehyde (MUF),22,,Black,180,,"Film Faced, MUF Grade",38
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Phenol Formaldehyde (PF),22,,Red,80,,"Film Faced, MUF Grade",37
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Phenol Formaldehyde (PF),22,,Red,100,,"Film Faced, MUF Grade",37
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Phenol Formaldehyde (PF),22,,Red,120,,"Film Faced, MUF Grade",37
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Phenol Formaldehyde (PF),22,,Red,180,,"Film Faced, MUF Grade",37
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Phenol Formaldehyde (PF),22,,Black,80,,"Film Faced, MUF Grade",38
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Phenol Formaldehyde (PF),22,,Black,100,,"Film Faced, MUF Grade",38
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Phenol Formaldehyde (PF),22,,Black,120,,"Film Faced, MUF Grade",38
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,10,,Phenol Formaldehyde (PF),22,,Black,180,,"Film Faced, MUF Grade",38
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),24,,Red,80,,"Film Faced, MUF Grade",39
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),24,,Red,100,,"Film Faced, MUF Grade",39
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),24,,Red,120,,"Film Faced, MUF Grade",39
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),24,,Red,180,,"Film Faced, MUF Grade",39
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),24,,Black,80,,"Film Faced, MUF Grade",40
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),24,,Black,100,,"Film Faced, MUF Grade",40
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),24,,Black,120,,"Film Faced, MUF Grade",40
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),24,,Black,180,,"Film Faced, MUF Grade",40
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),24,,Red,80,,"Film Faced, MUF Grade",39
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),24,,Red,100,,"Film Faced, MUF Grade",39
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),24,,Red,120,,"Film Faced, MUF Grade",39
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),24,,Red,180,,"Film Faced, MUF Grade",39
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),24,,Black,80,,"Film Faced, MUF Grade",40
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),24,,Black,100,,"Film Faced, MUF Grade",40
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),24,,Black,120,,"Film Faced, MUF Grade",40
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Phenol Formaldehyde (PF),24,,Black,180,,"Film Faced, MUF Grade",40
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,80,,"Film Faced, MUF Grade",44
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,100,,"Film Faced, MUF Grade",44
Film Faced Shuttering Plywood,"Film Faced, MUF Grade",,12,,Melamine Urea Formaldehyde (MUF),30,,Red,120,,"Film Faced, MUF Grade",44
